Company,Rank,Year,Industry,Headquarters_state,Revenue_mil,profit_mil
General Motors Corporation,1,1996,Motor Vehicles & Parts,MI,168828.6,30389.148
Ford Motor Company,2,1996,Motor Vehicles & Parts,MI,137137,24684.66
Exxon Corporation,3,1996,Petroleum Refining,TX,110009,19801.62
"Wal-Mart Stores, Inc.",4,1996,General Merchandisers,AR,93627,16852.86
AT&T Corp.,5,1996,Telecommunications,NY,79609,14329.62
International Business Machines Corporation,6,1996,"Computers, Office Equipment",NY,71940,12949.2
General Electric Company,7,1996,"Electronics, Electrical Equipment",CT,70028,12605.04
Mobil Corporation,8,1996,Petroleum Refining,VA,66724,14679.28
Chrysler Corporation,9,1996,Motor Vehicles & Parts,MI,53195,11702.9
Philip Morris Companies,10,1996,Tobacco,NY,53139,11690.58
Prudential Insurance Company of America,11,1996,"Insurance: Life, Health (Mutual)",NJ,41330,9092.6
State Farm Group,12,1996,Insurance: Property and Casualty (Mutual),IL,40809.9,8978.178
"E.I. Du Pont de Nemours and Company, Inc.",13,1996,Chemicals,DE,37607,8273.54
"Texaco, Inc.",14,1996,Petroleum Refining,NY,36787,8093.14
"Sears, Roebuck & Company",15,1996,General Merchandisers,IL,35181,7739.82
Kmart Corporation,16,1996,General Merchandisers,MI,34654,7623.88
The Procter & Gamble Company,17,1996,"Soaps, Cosmetics",OH,33434,7355.48
Chevron Corporation,18,1996,Petroleum Refining,CA,32094,7060.68
Citicorp,19,1996,Commercial Banks,NY,31690,5704.2
Hewlett-Packard Company,20,1996,"Computers, Office Equipment",CA,31519,5673.42
"PepsiCo, Inc.",21,1996,Food Services,NY,30421,5475.78
Metropolitan Life Insurance Co.,22,1996,"Insurance: Life, Health (Mutual)",NY,27977,5035.86
Amoco Corporation,23,1996,Petroleum Refining,IL,27665,4979.7
"Motorola, Inc.",24,1996,"Electronics, Electrical Equipment",IL,27037,4866.66
"American International Group,Inc.",25,1996,Insurance: Property and Casualty (Stock),NY,25874,4657.32
"ConAgra, Inc.",26,1996,Food,NE,24108.9,4339.602
The Kroger Company,27,1996,Food & Drug Stores,OH,23937.8,4308.804
Dayton Hudson Corporation,28,1996,General Merchandisers,MN,23516,4232.88
Lockheed Martin Corporation,29,1996,Aerospace & Defense,MD,22853,4113.54
United Technologies Corporation,30,1996,Aerospace & Defense,CT,22802,4104.36
The Allstate Corporation,31,1996,Insurance: Property and Casualty (Stock),IL,22793,4102.74
Federal National Mortgage Association,32,1996,Diversified Financials,DC,22246,4004.28
"Merrill Lynch & Company, Inc.",33,1996,X Brokerage,NY,21513,3872.34
"J.C. Penney Company, Inc.",34,1996,General Merchandisers,TX,21419,5997.32
"United Parcel Service of America, Inc.",35,1996,"Mail, Package, and Freight Delivery",GA,21045,5892.6
The Dow Chemical Company,36,1996,Chemicals,MI,20957,5867.96
BankAmerica Corporation,37,1996,Commercial Banks,CA,20386,5708.08
GTE Corporation,38,1996,Telecommunications,CT,19957,5587.96
International Paper Company,39,1996,Forest and Paper Products,NY,19797,5543.16
The Boeing Company,40,1996,Aerospace & Defense,WA,19515,5464.2
Xerox Corporation,41,1996,"Scientific, Photographic and Control Equipment",CT,18963,5309.64
Cigna Corporation,42,1996,"Insurance: Life, Health (Stock)",PA,18955,5307.4
Johnson & Johnson,43,1996,Pharmaceuticals,NJ,18842,5275.76
Loews Corporation,44,1996,Insurance: Property and Casualty (Stock),NY,18770,3378.6
American Stores Company,45,1996,Food & Drug Stores,UT,18308.9,3295.602
"Price/Costco, Inc.",46,1996,Specialty Retailers,WA,18247.3,3284.514
USX Corporation,47,1996,Petroleum Refining,PA,18214,3278.52
The Coca-Cola Company,48,1996,Beverages,GA,18018,3243.24
BellSouth Corporation,49,1996,Telecommunications,GA,17886,3219.48
Sara Lee Corporation,50,1996,Food,IL,17719,3189.42
Columbia/HCA Healthcare Corp.,51,1996,Health Care,TN,17695,3185.1
"Fleming Companies, Inc.",52,1996,Wholesalers,OK,17501.6,3150.288
