Own,Children,Age,Income,Rental
0,1,41,64000,0
1,0,64,22000,0
1,1,38,189000,1
0,1,36,94000,0
0,1,79,150000,0
1,1,39,179000,1
0,0,69,190000,0
0,1,61,40000,0
1,0,78,142000,0
1,1,26,100000,0
0,1,57,150000,0
0,1,61,77000,1
0,0,24,84000,0
1,1,64,175000,1
0,1,30,149000,1
0,1,66,80000,0
0,1,39,182000,0
1,1,82,105000,0
1,0,84,185000,1
1,0,24,155000,0
1,1,74,24000,0
0,0,66,78000,0
1,0,81,199000,0
0,1,37,130000,1
1,0,48,79000,0
0,1,84,156000,1
1,0,71,200000,0
0,1,46,140000,1
0,1,61,173000,0
1,0,67,193000,0
0,1,79,87000,1
0,1,48,204000,0
0,1,37,134000,1
1,1,55,39000,1
1,0,45,156000,0
1,1,23,38000,0
0,1,26,82000,0
0,1,27,153000,0
1,0,77,115000,0
1,1,64,211000,0
1,1,23,102000,0
1,0,80,72000,0
0,0,30,83000,0
1,1,27,192000,0
1,0,67,96000,0
0,0,77,104000,0
1,0,50,44000,0
0,1,60,194000,0
0,1,33,69000,0
1,1,84,195000,1
1,1,51,47000,0
0,1,35,208000,0
0,1,64,214000,0
0,1,52,51000,0
1,1,40,95000,0
1,0,83,66000,1
0,0,46,211000,1
0,1,28,65000,0
1,0,64,38000,0
0,0,50,188000,0
1,0,41,191000,1
1,1,79,68000,0
0,0,76,169000,1
1,1,26,233000,1
0,0,47,115000,0
0,1,42,188000,1
0,0,35,115000,0
1,1,60,195000,1
1,1,24,147000,0
1,1,26,28000,0
0,0,73,218000,1
1,1,49,47000,1
0,1,37,70000,0
0,1,35,142000,0
1,1,61,137000,0
1,0,74,33000,0
1,0,35,207000,0
1,0,63,116000,0
0,0,80,97000,0
0,0,78,95000,0
0,0,38,122000,0
0,1,51,101000,0
0,1,85,102000,0
0,1,55,135000,0
1,0,83,65000,0
0,1,25,69000,1
1,1,56,121000,1
1,0,74,60000,0
0,1,44,134000,1
1,0,43,146000,1
1,1,82,215000,0
1,0,59,61000,0
0,0,37,191000,0
1,0,78,87000,0
0,1,65,165000,0
0,1,76,146000,1
1,1,35,81000,0
1,0,23,77000,0
1,0,37,48000,1
1,1,80,208000,1
0,0,70,181000,1
1,0,51,118000,0
0,0,59,123000,0
0,1,70,74000,0
0,0,61,110000,0
1,1,63,122000,1
1,1,78,51000,0
1,1,41,47000,0
0,1,35,51000,0
1,1,26,62000,0
0,0,83,168000,0
1,1,68,89000,0
1,0,76,110000,1
1,1,35,34000,0
0,1,79,29000,0
0,0,60,103000,0
0,1,39,38000,0
0,0,81,132000,1
1,0,63,173000,1
1,1,82,159000,1
0,1,29,158000,1
1,1,40,135000,0
0,0,56,201000,1
1,1,33,194000,1
1,0,85,169000,1
1,0,35,70000,0
0,1,84,67000,0
1,0,55,213000,0
1,1,24,124000,0
0,0,58,123000,0
1,1,28,152000,1
1,1,66,103000,0
0,1,82,28000,0
0,1,56,178000,0
1,1,60,138000,1
1,1,59,91000,0
1,0,35,122000,0
1,1,32,25000,1
1,1,47,194000,0
1,1,40,198000,1
0,1,63,204000,0
0,1,62,219000,1
1,0,78,114000,0
1,1,78,190000,1
1,1,75,148000,1
0,1,72,194000,0
0,1,61,123000,0
1,1,75,103000,0
1,1,80,71000,1
1,1,59,89000,1
0,1,84,65000,1
1,1,59,181000,0
1,1,54,70000,1
1,1,68,127000,0
1,1,82,146000,1
1,0,79,162000,0
0,1,47,154000,1
1,0,77,176000,0
1,1,41,101000,0
0,0,45,188000,0
1,1,70,82000,0
0,0,59,205000,1
1,1,56,122000,1
1,1,56,126000,0
1,0,25,144000,0
1,1,50,50000,0
1,1,63,79000,0
1,0,81,122000,0
0,1,26,205000,1
1,0,77,50000,0
1,0,37,115000,0
1,1,75,162000,0
0,1,69,114000,0
0,0,45,162000,1
1,1,79,190000,1
0,1,67,44000,0
1,1,61,123000,1
0,1,50,176000,1
0,0,69,174000,1
1,1,53,144000,1
0,0,84,199000,0
1,1,47,202000,1
0,1,38,175000,1
1,1,22,61000,0
0,0,43,51000,0
1,1,63,76000,0
1,1,46,66000,0
1,0,70,216000,0
0,1,56,119000,0
0,0,44,96000,0
1,1,22,99000,0
0,1,38,49000,0
1,1,71,153000,0
1,1,50,156000,1
1,1,52,162000,0
0,1,75,140000,0
0,1,40,137000,1
0,0,43,165000,0
1,1,79,124000,1
1,1,77,82000,0
1,1,41,210000,0
1,0,30,41000,1
0,0,33,108000,0
1,1,49,90000,0
0,1,85,144000,0
1,0,64,215000,1
1,0,28,116000,0
0,1,31,50000,0
1,1,28,35000,0
1,0,28,167000,0
1,1,83,62000,0
0,0,60,46000,1
0,1,44,172000,0
1,1,68,227000,1
1,1,61,176000,0
0,1,60,192000,0
1,1,51,227000,1
0,1,36,188000,1
1,1,63,58000,0
1,1,28,154000,0
0,1,72,122000,0
1,1,57,120000,0
1,0,47,148000,1
0,1,64,107000,0
0,1,23,92000,0
0,1,32,188000,1
0,0,81,102000,0
1,1,75,57000,0
1,1,63,107000,1
0,1,41,26000,0
1,0,82,158000,1
0,1,58,135000,1
1,1,85,174000,0
1,1,51,109000,0
