Tween,Question 1,Question 2,Question 3,Question 4
1,Apple Music,4,5:00pm,20
2,Pandora,2,5:00pm,10
3,Spotify,2,4:30pm,10
4,Apple Music,3,4:00pm,0
5,Spotify,1,3:30pm,0
6,Apple Music,1,6:00pm,25
7,Spotify,2,6:00pm,15
8,Spotify,3,5:00pm,10
9,Spotify,2,4:30pm,10
10,Spotify,3,4:30pm,20
11,Apple Music,3,3:00pm,0
12,Apple Music,4,4:00pm,5
13,Spotify,2,4:30pm,5
14,Spotify,2,5:00pm,10
15,Spotify,3,4:00pm,5
16,Apple Music,3,6:00pm,20
17,Spotify,2,5:00pm,15
18,Pandora,4,6:00pm,15
19,Spotify,1,5:00pm,25
20,Spotify,2,4:30pm,10
